AAB;162.5;162.5;162.5;162.5;19;3087
ABIDA;88.25;88.25;88.25;88.25;175;15443
ABIGHY;93.45;93.45;93.45;93.45;160;14952
ABIPPB;207.1;207.1;207.1;207.1;3900;807690
ABIPPV;247.7;247.7;247.7;247.7;200;49540
ABIRUS;104.6;106.4;104;104;1484;155009
ACACIGDKK;1013.5;1013.5;1013.5;1013.5;394;399319
ACAECO;1035.6;1035.6;1035.6;1035.6;385;398706
ADMCAP-B;1.63;1.63;1.63;1.63;47000;76610
AGF-B;0.24;0.245;0.24;0.245;16800;4036
AGILC;37.995;37.995;37.01;37.01;1883;70103
ALIEUA;96.9;96.9;96.9;96.9;1644;159303
ALIGLO;99.4;99.4;99.1;99.1;2000;198500
ALILO;100;100.1;100;100.1;1350;135035
ALIMIX;131.4;131.4;131.4;131.4;147;19315
ALK-B;1080;1082;1064;1070;19699;21172120
ALMB;65.7;65.7;63.6;63.6;239740;15397364
AM-B;68;68;68;68;27;1836
AMBU-B;234.6;234.6;211.2;212.2;1675923;368111088
AMIGLO;117.2;117.2;117.2;117.2;8000;937600
AOJ-P;287;287;287;287;584;167608
ARKIL-B;1160;1170;1160;1170;135;157600
ATHENA;9.02;9.36;9.02;9.36;3307;30192
ATLA-DKK;7.9;7.9;7.9;7.9;90;711
BAIAAA;103.5;103.5;102.8;102.8;37004;3812171
BAIBGAAKA;613.8;613.8;606.2;606.2;2549;1558877
BAIBGAKTA;339.5;339.9;335.5;336.9;4495;1521265
BAIDKAA;90;90;89.1;89.1;14942;1338154
BAIDKAAKA;123.6;123.6;123.6;123.6;52113;6441166
BAIEMAA;134.8;134.8;133.5;133.5;2153;289579
BAIEMOAKA;163.8;164.7;163.4;163.4;8558;1400343
BAIEMOBA;54;54.2;53.95;54;45945;2482103
BAIEMOLVA;96.4;96.45;95.9;96.05;17250;1658313
BAIESCA;130.6;130.6;129.8;129.8;7442;969593
BAIGFA;151.6;152.1;150;150;12093;1824655
BAIGIOA;111.1;111.1;111.1;111.1;600;66660
BAIGLAEA;131.8;131.8;131.8;131.8;145;19111
BAIHUAA;136.9;137.3;135.5;135.9;16899;2303290
BAIKDKOAKA;124.6;124.9;124.6;124.6;4015;500840
BAIKDOBA;90.9;91.15;90.9;91.15;24087;2193121
BAILDOBA;98.3;98.7;98.3;98.45;47539;4686277
BAINEMAA;115;115.7;115;115.7;7237;833644
BAIUOBA;107.5;107.7;107.5;107.7;12578;1353714
BAIUSALCAA;101.1;101.1;101.1;101.1;1741;176415
BAIUSCA;136.5;136.8;135.3;135.3;2979;406256
BAIVOHYA;98.75;99;98.7;98.7;26321;2599833
BAIVOIGA;77.65;77.9;77.65;77.8;21662;1684537
BAIVOIGAKA;141.4;141.4;141.4;141.4;3035;429149
BAIVOIGEA;109.3;109.5;109.3;109.5;4688;513278
BAKO10AKKKL;124.6;124.6;124.6;124.6;613;76379
BAKO10KL;101;101;101;101;10891;1099991
BAKO30AKL;100.8;100.8;100.8;100.8;767;77313
BAKO30KL;100.6;101.1;100.6;101.1;14052;1420645
BAKO55AKKKL;160.5;161.2;159.4;160.4;6055;971837
BAKO55KL;101;101;101;101;1441;145541
BAKO75AKKKL;171;171;169.9;169.9;479;81864
BAKO75KL;100.4;100.4;100.4;100.4;780;78312
BAKPEQ;5.4;5.4;5.4;5.4;250;1350
BAVA;197.15;201.7;194.8;196.8;191807;38147300
BDIDSCAKLA;235.5;235.5;235.5;235.5;3723;876766
BEAR-DAX-10-N;0.64;0.7;0.64;0.7;50000;34400
BEAR-DAX-15-N-II;1.62;2.04;1.62;1.99;1083570;1983647
BEAR-DAX-N;18.52;18.52;18.52;18.52;1000;18520
